--- NGROK LOGS ---
t=2026-04-23T14:47:41+0530 lvl=info msg="no configuration paths supplied"
t=2026-04-23T14:47:41+0530 lvl=info msg="using configuration at default config path" path="/Users/samarthsrivastava/Library/Application Support/ngrok/ngrok.yml"
t=2026-04-23T14:47:41+0530 lvl=info msg="open config file" path="/Users/samarthsrivastava/Library/Application Support/ngrok/ngrok.yml" err=nil
t=2026-04-23T14:47:41+0530 lvl=info msg="FIPS 140 mode" enabled=false
t=2026-04-23T14:47:42+0530 lvl=info msg="starting web service" obj=web addr=127.0.0.1:4040 allow_hosts=[]
t=2026-04-23T14:47:42+0530 lvl=info msg="client session established" obj=tunnels.session
t=2026-04-23T14:47:42+0530 lvl=info msg="tunnel session started" obj=tunnels.session
t=2026-04-23T14:47:42+0530 lvl=info msg="started tunnel" obj=tunnels name=command_line addr=http://localhost:8000 url=https://abrasion-gusto-shelving.ngrok-free.dev
t=2026-04-23T14:47:46+0530 lvl=info msg=start pg=/api/tunnels id=e3343a33352bfacc
t=2026-04-23T14:47:46+0530 lvl=info msg=end pg=/api/tunnels id=e3343a33352bfacc status=200 dur=145.375µs
t=2026-04-23T14:48:38+0530 lvl=info msg="join connections" obj=join id=459196c26454 l=127.0.0.1:8000 r=51.158.109.197:57284
t=2026-04-23T14:48:40+0530 lvl=info msg="join connections" obj=join id=bb0cd703913a l=127.0.0.1:8000 r=51.158.109.197:55140
t=2026-04-23T14:48:41+0530 lvl=info msg="join connections" obj=join id=c0567e6237de l=127.0.0.1:8000 r=51.158.109.197:55148
t=2026-04-23T14:48:43+0530 lvl=info msg="join connections" obj=join id=1e1162157985 l=127.0.0.1:8000 r=51.158.109.197:56848
t=2026-04-23T14:48:44+0530 lvl=info msg="join connections" obj=join id=33f417c04e77 l=127.0.0.1:8000 r=51.158.109.197:38874
t=2026-04-23T14:48:45+0530 lvl=info msg="join connections" obj=join id=c0820d7c59e9 l=127.0.0.1:8000 r=51.158.109.197:57298
t=2026-04-23T14:48:47+0530 lvl=info msg="join connections" obj=join id=9da004022eff l=127.0.0.1:8000 r=51.158.109.197:46618
t=2026-04-23T14:48:48+0530 lvl=info msg="join connections" obj=join id=ffb0b0483a2c l=127.0.0.1:8000 r=51.158.109.197:36030
t=2026-04-23T14:48:50+0530 lvl=info msg="join connections" obj=join id=824e4e7ac707 l=127.0.0.1:8000 r=51.158.109.197:59370
t=2026-04-23T14:48:51+0530 lvl=info msg="join connections" obj=join id=fcd2eebc8a7f l=127.0.0.1:8000 r=51.158.109.197:59386
t=2026-04-23T14:48:52+0530 lvl=info msg="join connections" obj=join id=863151fb059a l=127.0.0.1:8000 r=51.158.109.197:56514
t=2026-04-23T14:48:54+0530 lvl=info msg="join connections" obj=join id=9ba44330c080 l=127.0.0.1:8000 r=51.158.109.197:38032
t=2026-04-23T14:48:56+0530 lvl=info msg="join connections" obj=join id=3c844cbf9fec l=127.0.0.1:8000 r=51.158.109.197:56518
t=2026-04-23T14:48:57+0530 lvl=info msg="join connections" obj=join id=c211824939f4 l=127.0.0.1:8000 r=51.158.109.197:37918
t=2026-04-23T14:48:59+0530 lvl=info msg="join connections" obj=join id=ed392116188a l=127.0.0.1:8000 r=51.158.109.197:39674
t=2026-04-23T14:49:00+0530 lvl=info msg="join connections" obj=join id=09aebe1df366 l=127.0.0.1:8000 r=51.158.109.197:57752
t=2026-04-23T14:49:02+0530 lvl=info msg="join connections" obj=join id=c3760262667a l=127.0.0.1:8000 r=51.158.109.197:57588
t=2026-04-23T14:49:03+0530 lvl=info msg="join connections" obj=join id=5eb99dee6ee2 l=127.0.0.1:8000 r=51.158.109.197:37934
